name,type,start_time,duration,mosi
SPI,result,2.60597872,9.60E-07,0x00
SPI,result,2.6059802,0,0x00
SPI,result,2.6059826,9.60E-07,0x00
SPI,result,2.60598408,0,0x00
SPI,result,2.60598648,9.60E-07,0x00
SPI,result,2.60598796,0,0x00
SPI,result,2.60599032,0,0x00
SPI,result,2.60599184,0,0x00
SPI,result,2.6059942,0,0x00
SPI,result,2.60599572,9.60E-07,0x00
SPI,result,2.60599808,0,0x00
SPI,result,2.6059996,9.60E-07,0x00
SPI,result,2.60600196,0,0x00
SPI,result,2.60600348,9.60E-07,0x00
SPI,result,2.60600584,0,0x00
SPI,result,2.60600736,9.60E-07,0x00
SPI,result,2.60600972,9.60E-07,0x00
SPI,result,2.6060112,1.00E-06,0x00
SPI,result,2.6060136,9.60E-07,0x00
SPI,result,2.60601508,0,0x00
SPI,result,2.60601748,9.60E-07,0x00
SPI,result,2.60601896,1.00E-06,0x00
SPI,result,2.60602136,9.60E-07,0x00
SPI,result,2.60602284,0,0x00
SPI,result,2.6060252,0,0x00
SPI,result,2.60602672,0,0x00
SPI,result,2.60602908,0,0x00
SPI,result,2.6060306,9.60E-07,0x00
SPI,result,2.60603296,0,0x00
SPI,result,2.60603448,9.60E-07,0x00
SPI,result,2.60603684,0,0x00
SPI,result,2.60603836,9.60E-07,0x00
SPI,result,2.60604072,1.00E-06,0x00
SPI,result,2.60604224,9.60E-07,0x00
SPI,result,2.6060446,9.60E-07,0x00
SPI,result,2.60604608,0,0x00
SPI,result,2.60604848,9.60E-07,0x00
SPI,result,2.60604996,0,0x00
SPI,result,2.60605236,9.60E-07,0x00
SPI,result,2.60605384,0,0x00
SPI,result,2.60605624,9.60E-07,0x00
SPI,result,2.60605772,0,0x00
SPI,result,2.60606008,0,0x00
SPI,result,2.6060616,0,0x00
SPI,result,2.60606396,1.00E-06,0x00
SPI,result,2.60606548,9.60E-07,0x00
SPI,result,2.60606784,0,0x00
SPI,result,2.60606936,9.60E-07,0x00
SPI,result,2.60607172,0,0x00
SPI,result,2.60607324,9.60E-07,0x00
SPI,result,2.6060756,0,0x00
SPI,result,2.60607708,0,0x00
SPI,result,2.60607948,9.60E-07,0x00
SPI,result,2.60608096,0,0x00
SPI,result,2.60608336,9.60E-07,0x00
SPI,result,2.60608484,0,0x00
SPI,result,2.60608724,9.60E-07,0x00
SPI,result,2.60608872,0,0x00
SPI,result,2.60609108,0,0x00
SPI,result,2.6060926,1.00E-06,0x00
SPI,result,2.60609496,0,0x00
SPI,result,2.60609648,9.60E-07,0x00
SPI,result,2.60609884,0,0x00
SPI,result,2.60610036,9.60E-07,0x00
SPI,result,2.60610272,0,0x00
SPI,result,2.60610424,9.60E-07,0x00
SPI,result,2.6061066,0,0x00
SPI,result,2.60610812,9.60E-07,0x00
SPI,result,2.60611048,9.60E-07,0x00
SPI,result,2.60611196,0,0x00
SPI,result,2.60611436,9.60E-07,0x00
SPI,result,2.60611584,1.00E-06,0x00
SPI,result,2.60611824,9.60E-07,0x00
SPI,result,2.60611972,0,0x00
SPI,result,2.60612212,9.60E-07,0x00
SPI,result,2.6061236,0,0x00
SPI,result,2.60612596,0,0x00
SPI,result,2.60612748,0,0x00
SPI,result,2.60612984,0,0x00
SPI,result,2.60613136,9.60E-07,0x00
SPI,result,2.60613372,0,0x00
SPI,result,2.60613524,9.60E-07,0x00
SPI,result,2.6061376,0,0x00
SPI,result,2.60613912,9.60E-07,0x00
SPI,result,2.60614148,0,0x00
SPI,result,2.606143,9.60E-07,0x00
SPI,result,2.60614536,9.60E-07,0x00
SPI,result,2.60614684,0,0x00
SPI,result,2.60614924,9.60E-07,0x00
SPI,result,2.60615072,0,0x00
SPI,result,2.60615312,9.60E-07,0x00
SPI,result,2.6061546,0,0x00
SPI,result,2.606157,9.60E-07,0x00
SPI,result,2.60615848,0,0x00
SPI,result,2.60616084,0,0x00
SPI,result,2.60616236,0,0x00
SPI,result,2.60616472,0,0x00
SPI,result,2.60616624,9.60E-07,0x00
SPI,result,2.6061686,0,0x00
SPI,result,2.60617012,9.60E-07,0x00
SPI,result,2.60617248,0,0x00
SPI,result,2.606174,9.60E-07,0x00
SPI,result,2.60617636,0,0x00
SPI,result,2.60617788,9.60E-07,0x00
SPI,result,2.60618024,9.60E-07,0x00
SPI,result,2.60618172,0,0x00
SPI,result,2.60618412,9.60E-07,0x00
SPI,result,2.6061856,0,0x00
SPI,result,2.606188,9.60E-07,0x00
SPI,result,2.60618948,0,0x00
SPI,result,2.60619188,9.60E-07,0x00
SPI,result,2.60619336,0,0x00
SPI,result,2.60619572,0,0x00
SPI,result,2.60619724,1.00E-06,0x00
SPI,result,2.6061996,0,0x00
SPI,result,2.60620112,9.60E-07,0x00
SPI,result,2.60620348,0,0x00
SPI,result,2.606205,9.60E-07,0x00
SPI,result,2.60620736,0,0x00
SPI,result,2.60620888,9.60E-07,0x00
SPI,result,2.60621124,0,0x00
SPI,result,2.60621272,0,0x00
SPI,result,2.60621512,9.60E-07,0x00
SPI,result,2.6062166,0,0x00
SPI,result,2.606219,9.60E-07,0x00
SPI,result,2.60622048,0,0x00
SPI,result,2.60622288,9.60E-07,0x00
SPI,result,2.60622436,0,0x00
SPI,result,2.60622676,9.60E-07,0x00
SPI,result,2.60622824,0,0x00
SPI,result,2.6062306,0,0x00
SPI,result,2.60623212,9.60E-07,0x00
SPI,result,2.60623448,0,0x00
SPI,result,2.606236,9.60E-07,0x00
SPI,result,2.60623836,0,0x00
SPI,result,2.60623988,9.60E-07,0x00
SPI,result,2.60624224,0,0x00
SPI,result,2.60624376,9.60E-07,0x00
SPI,result,2.60624612,9.60E-07,0x00
SPI,result,2.6062476,0,0x00
SPI,result,2.60625,9.60E-07,0x00
SPI,result,2.60625148,0,0x00
SPI,result,2.60625388,9.60E-07,0x00
SPI,result,2.60625536,0,0x00
SPI,result,2.60625776,9.60E-07,0x00
SPI,result,2.60625924,0,0x00
SPI,result,2.6062616,0,0x00
SPI,result,2.60626312,0,0x00
SPI,result,2.60626548,0,0x00
SPI,result,2.606267,9.60E-07,0x00
SPI,result,2.60626936,0,0x00
SPI,result,2.60627088,9.60E-07,0x00
SPI,result,2.60627324,0,0x00
SPI,result,2.60627476,9.60E-07,0x00
SPI,result,2.60627712,0,0x00
SPI,result,2.60627864,9.60E-07,0x00
SPI,result,2.606281,9.60E-07,0x00
SPI,result,2.60628804,0,0x00
SPI,result,2.60629044,9.60E-07,0x00
SPI,result,2.60629192,0,0x00
SPI,result,2.60629432,9.60E-07,0x00
SPI,result,2.6062958,0,0x00
SPI,result,2.6062982,9.60E-07,0x00
SPI,result,2.60629968,0,0x00
SPI,result,2.60630208,9.60E-07,0x00
SPI,result,2.60630356,0,0x00
SPI,result,2.60630592,0,0x00
SPI,result,2.60630744,0,0x00
SPI,result,2.6063098,0,0x00
SPI,result,2.60631132,9.60E-07,0x00
SPI,result,2.60631368,0,0x00
SPI,result,2.6063152,9.60E-07,0x00
SPI,result,2.60631756,0,0x00
SPI,result,2.60631908,9.60E-07,0x00
SPI,result,2.60632852,9.60E-07,0x00
SPI,result,2.60633,0,0x00
SPI,result,2.60633236,1.00E-06,0x00
SPI,result,2.60633388,0,0x00
SPI,result,2.60633624,0,0x00
SPI,result,2.60633776,9.60E-07,0x00
SPI,result,2.60634012,0,0x00
SPI,result,2.60634164,9.60E-07,0x00
SPI,result,2.606344,0,0x00
SPI,result,2.60634552,9.60E-07,0x00
SPI,result,2.60634788,0,0x00
SPI,result,2.60634936,0,0x00
SPI,result,2.60635176,9.60E-07,0x00
SPI,result,2.60635324,0,0x00
SPI,result,2.60635564,9.60E-07,0x00
SPI,result,2.60635712,0,0x00
SPI,result,2.60635952,9.60E-07,0x00
SPI,result,2.606361,1.00E-06,0x00
SPI,result,2.6063634,9.60E-07,0x00
SPI,result,2.60636488,0,0x00
SPI,result,2.60636724,0,0x00
SPI,result,2.60636876,9.60E-07,0x00
SPI,result,2.60637112,0,0x00
SPI,result,2.60637264,9.60E-07,0x00
SPI,result,2.606375,0,0x00
SPI,result,2.60637652,9.60E-07,0x00
SPI,result,2.60637888,0,0x00
SPI,result,2.6063804,9.60E-07,0x00
SPI,result,2.60638276,0,0x00
SPI,result,2.60638424,1.00E-06,0x00
SPI,result,2.60638664,9.60E-07,0x00
SPI,result,2.60638812,0,0x00
SPI,result,2.60639052,9.60E-07,0x00
SPI,result,2.606392,0,0x00
SPI,result,2.6063944,9.60E-07,0x00
SPI,result,2.60639588,0,0x00
SPI,result,2.60639824,0,0x00
SPI,result,2.60639976,0,0x00
SPI,result,2.60640212,0,0x00
SPI,result,2.60640364,9.60E-07,0x00
SPI,result,2.606406,0,0x00
SPI,result,2.60640752,9.60E-07,0x00
SPI,result,2.60640988,0,0x00
SPI,result,2.6064114,9.60E-07,0x00
SPI,result,2.60641376,0,0x00
SPI,result,2.60641528,9.60E-07,0x00
SPI,result,2.60641764,9.60E-07,0x00
SPI,result,2.60641912,0,0x00
SPI,result,2.60642152,9.60E-07,0x00
SPI,result,2.606423,0,0x00
SPI,result,2.6064254,9.60E-07,0x00
SPI,result,2.60642688,0,0x00
SPI,result,2.60642928,9.60E-07,0x00
SPI,result,2.60643076,0,0x00
SPI,result,2.60643312,0,0x00
SPI,result,2.60643464,0,0x00
SPI,result,2.606437,0,0x00
SPI,result,2.60643852,9.60E-07,0x00
SPI,result,2.60644088,0,0x00
SPI,result,2.6064424,9.60E-07,0x00
SPI,result,2.60644476,0,0x00
SPI,result,2.60644628,9.60E-07,0x00
SPI,result,2.60644864,0,0x00
SPI,result,2.60645016,9.60E-07,0x00
SPI,result,2.60645252,9.60E-07,0x00
SPI,result,2.606454,0,0x00
SPI,result,2.6064564,9.60E-07,0x00
SPI,result,2.60645788,0,0x00
SPI,result,2.60646028,9.60E-07,0x00
SPI,result,2.60646176,0,0x00
SPI,result,2.60646416,9.60E-07,0x00
SPI,result,2.60646564,1.00E-06,0x00
SPI,result,2.606468,0,0x00
SPI,result,2.60646952,9.60E-07,0x00
SPI,result,2.60647188,0,0x00
SPI,result,2.6064734,9.60E-07,0x00
SPI,result,2.60647576,0,0x00
SPI,result,2.60647728,9.60E-07,0x00
SPI,result,2.60647964,0,0x00
SPI,result,2.60648116,9.60E-07,0x00
SPI,result,2.60648352,0,0x00
SPI,result,2.606485,0,0x00
SPI,result,2.6064874,9.60E-07,0x00
SPI,result,2.60648888,1.00E-06,0x00
SPI,result,2.60649128,9.60E-07,0x00
SPI,result,2.60649276,0,0x00
SPI,result,2.60649516,9.60E-07,0x00
SPI,result,2.60649664,0,0x00
SPI,result,2.60649904,9.60E-07,0x00
SPI,result,2.60650052,0,0x00
SPI,result,2.60650288,0,0x00
SPI,result,2.6065044,9.60E-07,0x00
SPI,result,2.60650676,0,0x00
SPI,result,2.60650828,9.60E-07,0x00
SPI,result,2.60651064,1.00E-06,0x00
SPI,result,2.60651216,9.60E-07,0x00
SPI,result,2.60651452,0,0x00
SPI,result,2.60651604,9.60E-07,0x00
SPI,result,2.6065184,0,0x00
SPI,result,2.60651988,0,0x00
SPI,result,2.60652228,9.60E-07,0x00
SPI,result,2.60652376,0,0x00
SPI,result,2.60652616,9.60E-07,0x00
SPI,result,2.60652764,0,0x00
SPI,result,2.60653004,9.60E-07,0x00
SPI,result,2.60653152,0,0x00
SPI,result,2.60653388,1.00E-06,0x00
SPI,result,2.6065354,0,0x00
SPI,result,2.60653776,0,0x00
SPI,result,2.60653928,9.60E-07,0x00
SPI,result,2.60654164,0,0x00
SPI,result,2.60654316,9.60E-07,0x00
SPI,result,2.60654552,0,0x00
SPI,result,2.60654704,9.60E-07,0x00
SPI,result,2.6065494,0,0x00
SPI,result,2.60655092,9.60E-07,0x00
SPI,result,2.60655328,0,0x00
SPI,result,2.60655476,0,0x00
